date_time,speed,lane,auto,lane_white_avg,lane_green_avg,auto_white_avg,auto_green_avg
2020-10-0610:46:42,,0,0,0,0,0,0
2020-10-0610:46:42,,0,0,0,0,0,0
2020-10-0610:46:42,,0,0,0,0,0,0
2020-10-0610:46:43,,0,0,0,0,0,0
2020-10-0610:46:43,,0,0,0,0,0,0
2020-10-0610:46:43,,0,0,0,0,0,0
2020-10-0610:46:44,,0,0,0,0,0,0
2020-10-0610:46:44,,0,0,0,0,0,0
2020-10-0610:46:44,,0,0,0,0,0,0
2020-10-0610:46:45,,0,0,0,0,0,0
2020-10-0610:46:45,,0,0,0,0,0,0
2020-10-0610:46:45,,0,0,0,0,0,0
2020-10-0610:46:46,,0,0,0,0,0,0
2020-10-0610:46:46,,0,0,0,0,0,0
2020-10-0610:46:46,,0,0,0,0,0,0
2020-10-0610:46:47,,0,0,0,0,0,0
2020-10-0610:46:47,,0,0,0,0,0,0
2020-10-0610:46:47,,0,0,0,0,0,0
2020-10-0610:46:48,,0,0,0,0,0,0
2020-10-0610:46:48,,0,0,0,0,0,0
2020-10-0610:46:48,,0,0,0,0,0,0
2020-10-0610:46:49,,0,0,0,0,0,0
2020-10-0610:46:49,,0,0,0,0,0,0
2020-10-0610:46:49,,0,0,0,0,0,0
2020-10-0610:46:50,,0,0,0,0,0,0
2020-10-0610:46:50,,0,0,0,0,0,0
2020-10-0610:46:50,,0,0,0,0,0,0
2020-10-0610:46:51,,0,0,0,0,0,0
2020-10-0610:46:51,,0,0,0,0,0,0
2020-10-0610:46:51,,0,0,0,0,0,0
2020-10-0610:46:52,,0,0,0,0,0,0
2020-10-0610:46:52,,0,0,0,0,0,0
2020-10-0610:46:52,,0,0,0,0,0,0
2020-10-0610:46:53,,0,0,0,0,0,0
2020-10-0610:46:53,,0,0,0,0,0,0
2020-10-0610:46:53,,0,0,0,0,0,0
2020-10-0610:46:54,,0,0,0,0,0,0
2020-10-0610:46:54,,0,0,0,0,0,0
2020-10-0610:46:54,,0,0,0,0,0,0
2020-10-0610:46:55,,0,0,0,0,0,0
2020-10-0610:46:55,,0,0,0,0,0,0
2020-10-0610:46:55,,0,0,0,0,0,0
2020-10-0610:46:56,,0,0,0,0,0,0
2020-10-0610:46:56,,0,0,0,0,0,0
2020-10-0610:46:56,,0,0,0,0,0,0
2020-10-0610:46:57,,0,0,0,0,0,0
