date_time,condition,speed,lane,auto,lane_white_avg,lane_green_avg,auto_white_avg,auto_green_avg
2020-10-0610:48:39,normal,,0,1,0.3719774011,0,0,15.0534036
2020-10-0610:48:40,normal,,0,1,0.3701694915,0,0,12.86930171
2020-10-0610:48:40,normal,,0,1,0.3369491525,0,0,13.07949056
2020-10-0610:48:40,normal,,0,1,0.1274576271,0,0.04321475626,8.486341678
2020-10-0610:48:40,normal,,0,1,0,0,0,7.655511638
2020-10-0610:48:40,normal,,0,1,0,0,0,7.48115942
2020-10-0610:48:41,normal,,0,1,0,0,0,7.509354414
2020-10-0610:48:41,normal,,0,1,0,0,0,17.13192798
2020-10-0610:48:41,normal,,0,1,0,0,0,11.13552921
2020-10-0610:48:41,normal,,0,1,0,0,0,9.306192358
2020-10-0610:48:41,normal,,0,1,0,0,0,9.506016689
2020-10-0610:48:42,normal,,0,1,0,0,0,9.582608696
2020-10-0610:48:42,normal,,0,1,0,0,0,9.892050944
2020-10-0610:48:42,normal,,0,1,0,0,0,5.855511638
2020-10-0610:48:42,normal,,0,1,0,0,0.0930171278,6.530259113
2020-10-0610:48:42,normal,,0,1,0,0,0.0930171278,6.33869126
2020-10-0610:48:43,normal,,0,1,0,0,0.0930171278,6.33869126
2020-10-0610:48:43,normal,,0,1,0,0,0,6.364514712
2020-10-0610:48:43,normal,,0,1,0,0,0.03399209486,6.127624067
2020-10-0610:48:43,normal,,0,1,0,0,0,5.742028986
2020-10-0610:48:43,normal,,0,1,0,0,0,5.784716733
2020-10-0610:48:44,normal,,0,1,0,0,0,6.031181379
2020-10-0610:48:44,normal,,0,1,0,0,0.1325428195,5.785331577
2020-10-0610:50:35,tunnel,,0,1,0,0,0,12.39631094
2020-10-0610:50:35,tunnel,,0,1,0,0,0,0.5797101449
2020-10-0610:50:35,tunnel,,0,1,0,0,0,0.6949494949
2020-10-0610:50:36,tunnel,,0,1,0,0,0,0.8068511199
2020-10-0610:50:36,tunnel,,0,1,0,0,0,0.7390425999
2020-10-0610:50:36,tunnel,97,0,1,0,0,0,0.8
2020-10-0610:50:36,tunnel,90,0,1,0,0,0,0.8321475626
2020-10-0610:50:36,tunnel,70,0,1,0,0,0,0.8134387352
2020-10-0610:50:37,tunnel,90,0,1,0,0,0,0.8420729029
2020-10-0610:50:37,tunnel,90,0,1,0,0,0,0.8290733421
2020-10-0610:50:37,tunnel,46,0,1,0,0,0,0.8428634168
2020-10-0610:50:37,tunnel,48,0,1,0,0,0,0.7516029864
2020-10-0610:50:37,tunnel,90,0,1,0,0,0,0.8006148441
2020-10-0610:50:38,tunnel,90,0,1,0,0,0,0.6750109794
2020-10-0610:50:38,tunnel,90,0,1,0,0,0,0.6315327185
2020-10-0610:50:38,tunnel,90,0,1,0,0,0,0.5058410189
2020-10-0610:50:38,tunnel,48,0,1,0,0,0,0.5452788757
2020-10-0610:50:38,tunnel,90,0,1,0,0,0,0.5590689504
2020-10-0610:50:39,tunnel,90,0,1,0,0,0,0.5466842336
2020-10-0610:50:39,tunnel,90,0,1,0,0,0,0.563372859
2020-10-0610:50:39,tunnel,90,0,1,0,0,0,0.6530522617
2020-10-0610:50:39,tunnel,,0,1,0,0,0,0.6741326307
2020-10-0610:50:39,tunnel,,0,1,0,0,0,0.6722002635
2020-10-0610:50:40,tunnel,91,0,1,0,0,0,0.6649978041
2020-10-0610:50:40,tunnel,91,0,1,0,0,0,0.6981115503
2020-10-0610:50:40,tunnel,,0,1,0,0,0,0.9629336847
2020-10-0610:50:40,tunnel,90,0,1,0,0,0,0.951866491
2020-10-0610:50:40,tunnel,90,0,1,0,0,0,0.9727711902
2020-10-0610:50:41,tunnel,90,0,1,0,0,0,0.9727711902
2020-10-0610:50:41,tunnel,90,0,1,0,0,0,1.000087835
2020-10-0610:50:41,tunnel,90,0,1,0,0,0,1.060342556
2020-10-0610:50:41,tunnel,90,0,1,0,0,0,1.082301274
2020-10-0610:50:41,tunnel,90,0,1,0,0,0,1.243478261
2020-10-0610:50:42,tunnel,48,0,1,0,0,0,1.539393939
2020-10-0610:50:42,tunnel,90,0,1,0,0,0,1.619323671
2020-10-0610:50:42,tunnel,90,0,1,0,0,0,1.710935441
2020-10-0610:50:42,tunnel,90,0,1,0,0,0,1.917435222
2020-10-0610:50:42,tunnel,90,0,1,0,0,0,2.028809838
2020-10-0610:50:43,tunnel,90,0,1,0,0,0,2.009310496
2020-10-0610:50:43,tunnel,48,0,1,0,0,0,2.081247255
2020-10-0610:50:43,tunnel,48,0,1,0,0,0,2.398067633
2020-10-0610:50:43,tunnel,90,0,1,0,0,0,2.388932806
2020-10-0610:50:43,tunnel,90,0,1,0,0,0,2.485287659
2020-10-0610:50:44,tunnel,48,0,1,0,0,0,2.540008783
2020-10-0610:50:44,tunnel,90,0,1,0,0,0,3.097233202
2020-10-0610:50:44,tunnel,90,0,1,0,0,0,3.207202459
2020-10-0610:50:44,tunnel,90,0,1,0,0,0,3.681774264
2020-10-0610:50:44,tunnel,90,0,1,0,0,0,3.53561704
2020-10-0610:50:45,tunnel,90,0,1,0,0,0,3.240316206
2020-10-0610:50:45,tunnel,90,0,1,0,0,0,3.299077734
2020-10-0610:50:54,night,8,0,0,103.1159322,0,3.975494071,0
2020-10-0610:50:54,night,,0,0,65.88158192,0,3.845849802,0
2020-10-0610:50:54,night,,0,0,28.66779661,0,3.516469038,0
2020-10-0610:50:55,night,,0,0,20.35774011,0,3.114097497,0
2020-10-0610:50:55,night,,0,0,15.6619209,0,3.132542819,0
2020-10-0610:50:55,night,,0,0,13.91028249,0,3.158893281,0
2020-10-0610:50:55,night,,0,0,13.45694915,0,3.003162055,0
2020-10-0610:50:55,night,,0,0,13.57355932,0,3.003162055,0
2020-10-0610:50:56,night,,0,0,13.60610169,0,3.003162055,0
2020-10-0610:50:56,night,,0,0,12.88451977,0,3.00342556,0
2020-10-0610:50:56,night,,0,0,12.87706215,0,2.999472991,0
2020-10-0610:50:56,night,,0,0,13.09446328,0,2.995520422,0
2020-10-0610:50:56,night,,0,0,12.61581921,0,2.995520422,0
2020-10-0610:50:57,night,,0,0,12.84813559,0,2.995520422,0
2020-10-0610:50:57,night,,0,0,13.13468927,0,2.995520422,0
2020-10-0610:50:57,night,,0,0,12.61898305,0,3.024505929,0
2020-10-0610:50:57,night,,0,0,12.59344633,0,3.025559947,0
2020-10-0610:50:57,night,,0,0,12.65853107,0,3.025559947,0
2020-10-0610:50:58,night,,0,0,13.01536723,0,3.02687747,0
2020-10-0610:50:58,night,,0,0,13.32135593,0,3.02687747,0
2020-10-0610:50:58,night,,0,0,12.71141243,0,2.989986825,0
2020-10-0610:50:58,night,,0,0,12.25694915,0,2.98972332,0
2020-10-0610:50:58,night,,0,0,12.38259887,0,2.989459816,0
2020-10-0610:50:59,night,,0,0,12.35548023,0,2.963109354,0
2020-10-0610:50:59,night,,0,0,12.49559322,0,2.967061924,0
2020-10-0610:50:59,night,,0,0,13.34531073,0,2.962055336,0
2020-10-0610:50:59,night,,0,0,12.89966102,0,2.957839262,0
2020-10-0610:50:59,night,,0,0,12.91141243,0,2.957839262,0
2020-10-0610:51:00,night,,0,0,12.80451977,0,2.957839262,0
2020-10-0610:51:00,night,,0,0,12.50282486,0,2.957839262,0
2020-10-0610:51:00,night,,0,0,12.63728814,0,3.158102767,0
2020-10-0610:51:00,night,,0,0,11.96474576,0,3.035836627,0
2020-10-0610:51:00,night,,0,0,12.79774011,0,3.035836627,0
2020-10-0610:51:01,night,,0,0,13.20045198,0,3.035836627,0
2020-10-0610:51:01,night,,0,0,12.6820339,0,3.172859025,0
2020-10-0610:51:01,night,,0,0,12.18983051,0,3.069565217,0
2020-10-0610:51:01,night,,0,0,12.62372881,0,3.039262187,0
2020-10-0610:51:01,night,,0,0,12.68045198,0,3.039262187,0
2020-10-0610:51:02,night,,0,0,12.4820339,0,3.038998682,0
2020-10-0610:51:02,night,,0,0,11.7080226,0,3.038998682,0
2020-10-0610:51:02,night,,0,0,12.09288136,0,3.038208169,0
2020-10-0610:51:02,night,,0,0,12.25152542,0,3.038471673,0
2020-10-0610:51:02,night,,0,0,12.32384181,0,3.038735178,0
2020-10-0610:51:03,night,,0,0,11.97175141,0,3.038735178,0
2020-10-0610:51:03,night,,0,0,12.01762712,0,3.038735178,0
2020-10-0610:51:03,night,,0,0,12.13785311,0,3.005270092,0
2020-10-0610:51:03,night,,0,0,12.02915254,0,2.968906456,0
2020-10-0610:51:03,night,,0,0,11.92338983,0,2.968906456,0
2020-10-0610:51:04,night,,0,0,12.5920904,0,3.06455863,0
2020-10-0610:51:04,night,,0,0,12.04225989,0,3.06455863,0
2020-10-0611:25:01,normal,,1,0,0.1569868173,1.09913371,0,0
2020-10-0611:25:02,normal,48,1,0,0.02674199623,1.323691149,0,0
2020-10-0611:25:02,normal,4,1,0,0,1.377551789,0,0
2020-10-0611:25:02,normal,90,1,0,0,1.45905838,0,0
2020-10-0611:25:02,normal,90,1,0,0,1.217853107,0,0
2020-10-0611:25:02,normal,48,1,0,0,1.352919021,0,0
2020-10-0611:25:03,normal,70,1,1,0,1.340414313,0,0.02204655248
2020-10-0611:25:03,normal,48,1,1,0,1.516836158,0,0.02283706632
2020-10-0611:25:03,normal,48,1,1,0,1.465461394,0,0.02222222222
2020-10-0611:25:03,normal,40,1,0,0,1.619359699,0,0
2020-10-0611:25:03,normal,90,1,0,0,1.432843691,0,0
