date,time,speed,ldws,lkas
2020-10-23,15:14:44,85,0,0
2020-10-23,15:14:45,88,0,0
2020-10-23,15:14:46,89,0,0
2020-10-23,15:14:47,89,0,0
2020-10-23,15:14:48,90,0,1
2020-10-23,15:14:49,91,0,1
2020-10-23,15:14:50,92,0,1
2020-10-23,15:14:51,94,0,1
2020-10-23,15:14:52,96,0,1
2020-10-23,15:14:53,97,0,1
2020-10-23,15:14:54,99,0,1
2020-10-23,15:14:55,100,0,1
2020-10-23,15:14:56,100,0,1
2020-10-23,15:14:57,100,0,1
2020-10-23,15:14:58,100,0,1
2020-10-23,15:14:59,100,0,1
2020-10-23,15:15:00,100,0,1
2020-10-23,15:15:01,101,0,1
2020-10-23,15:15:02,101,0,1
2020-10-23,15:15:03,100,0,1
2020-10-23,15:15:04,100,0,1
2020-10-23,15:15:05,100,0,1
2020-10-23,15:15:06,101,0,1
2020-10-23,15:15:07,101,0,1
2020-10-23,15:15:08,101,0,1
2020-10-23,15:15:09,100,0,1
2020-10-23,15:15:10,100,0,1
2020-10-23,15:15:11,100,0,1
2020-10-23,15:15:12,100,0,1
2020-10-23,15:15:13,101,0,1
2020-10-23,15:15:14,101,0,1
2020-10-23,15:15:15,101,0,1
2020-10-23,15:15:16,100,0,1
2020-10-23,15:15:17,101,0,1
2020-10-23,15:15:18,101,0,1
2020-10-23,15:15:19,100,0,1
2020-10-23,15:15:20,100,0,1
2020-10-23,15:15:21,100,0,1
2020-10-23,15:15:22,100,0,1
2020-10-23,15:15:23,101,0,1
2020-10-23,15:15:24,101,0,1
2020-10-23,15:15:25,100,0,1
2020-10-23,15:15:26,99,0,1
2020-10-23,15:15:27,98,0,1
2020-10-23,15:15:28,97,0,1
2020-10-23,15:15:29,97,0,1
2020-10-23,15:15:30,96,0,1
2020-10-23,15:15:31,,0,1
2020-10-23,15:15:32,,0,1
2020-10-23,15:15:33,,0,1
2020-10-23,15:15:34,,0,1
2020-10-23,15:15:35,,0,1
2020-10-23,15:15:36,,0,0
2020-10-23,15:15:37,,0,0
2020-10-23,15:15:38,,0,0
2020-10-23,15:15:39,,0,0
2020-10-23,15:15:40,100,0,1
2020-10-23,15:15:41,100,0,1
2020-10-23,15:15:42,100,0,1
2020-10-23,15:15:43,100,0,1
2020-10-23,15:15:44,100,0,1
2020-10-23,15:15:45,100,0,1
2020-10-23,15:15:46,100,0,1
2020-10-23,15:15:47,98,0,1
2020-10-23,15:15:48,96,0,1
2020-10-23,15:15:49,94,0,1
2020-10-23,15:15:50,93,0,1
2020-10-23,15:15:51,93,0,1
2020-10-23,15:15:52,91,0,0
2020-10-23,15:15:53,89,0,0
2020-10-23,15:15:54,88,0,0
2020-10-23,15:15:55,87,0,0
2020-10-23,15:15:56,86,0,0
2020-10-23,15:15:57,86,0,0
2020-10-23,15:15:58,87,1,0
2020-10-23,15:15:59,86,1,0
2020-10-23,15:16:00,85,1,0
2020-10-23,15:16:01,85,1,0
2020-10-23,15:16:02,84,1,0
2020-10-23,15:16:03,82,1,0
2020-10-23,15:16:04,78,1,0
2020-10-23,15:16:05,76,1,0
2020-10-23,15:16:06,74,1,0
2020-10-23,15:16:07,72,1,0
2020-10-23,15:16:08,71,1,0
2020-10-23,15:16:09,72,1,0
2020-10-23,15:16:10,73,1,0
2020-10-23,15:16:11,75,1,0
2020-10-23,15:16:12,76,1,0
2020-10-23,15:16:13,76,1,0
2020-10-23,15:16:14,76,1,0
2020-10-23,15:16:15,76,1,0
2020-10-23,15:16:16,77,1,0
2020-10-23,15:16:17,76,1,0
2020-10-23,15:16:18,74,1,0
2020-10-23,15:16:19,72,0,0
2020-10-23,15:16:20,69,1,0
2020-10-23,15:16:21,66,1,0
2020-10-23,15:16:22,65,1,0
2020-10-23,15:16:23,65,1,0
2020-10-23,15:16:24,65,1,0
2020-10-23,15:16:25,65,1,0
2020-10-23,15:16:26,65,1,0
2020-10-23,15:16:27,63,1,0
2020-10-23,15:16:28,60,1,1
2020-10-23,15:16:29,58,1,1
2020-10-23,15:16:30,57,1,1
2020-10-23,15:16:31,57,1,1
2020-10-23,15:16:32,57,1,1
2020-10-23,15:16:33,56,1,1
2020-10-23,15:16:34,56,1,1
2020-10-23,15:16:35,57,1,1
2020-10-23,15:16:36,59,1,1
2020-10-23,15:16:37,60,0,0
2020-10-23,15:16:38,62,1,0
2020-10-23,15:16:39,63,1,0
2020-10-23,15:16:40,63,1,1
2020-10-23,15:16:41,63,1,1
2020-10-23,15:16:42,63,1,0
2020-10-23,15:16:43,61,1,0
2020-10-23,15:16:44,59,1,0
2020-10-23,15:16:45,57,0,0
2020-10-23,15:16:46,56,0,0
2020-10-23,15:16:47,55,0,0
2020-10-23,15:16:48,53,0,0
2020-10-23,15:16:49,51,0,1
2020-10-23,15:16:50,49,0,0
2020-10-23,15:16:51,49,0,0
2020-10-23,15:16:52,49,0,0
2020-10-23,15:16:53,49,0,0
2020-10-23,15:16:54,49,0,0
2020-10-23,15:16:55,49,0,0
2020-10-23,15:16:56,49,0,0
2020-10-23,15:16:57,49,0,0
2020-10-23,15:16:58,49,0,0
2020-10-23,15:16:59,50,0,0
2020-10-23,15:17:00,52,0,0
2020-10-23,15:17:01,54,0,0
2020-10-23,15:17:02,55,0,0
2020-10-23,15:17:03,55,0,0
2020-10-23,15:17:04,55,0,0
2020-10-23,15:17:05,57,0,0
2020-10-23,15:17:06,58,0,0
2020-10-23,15:17:07,61,1,0
2020-10-23,15:17:08,63,1,1
2020-10-23,15:17:09,65,1,1
2020-10-23,15:17:10,67,0,0
2020-10-23,15:17:11,68,1,0
2020-10-23,15:17:12,66,1,0
2020-10-23,15:17:13,60,1,1
2020-10-23,15:17:14,56,1,0
2020-10-23,15:17:15,53,0,0
2020-10-23,15:17:16,51,0,0
2020-10-23,15:17:17,50,0,0
2020-10-23,15:17:18,50,0,0
2020-10-23,15:17:19,50,0,0
2020-10-23,15:17:20,51,0,0
2020-10-23,15:17:21,51,0,0
2020-10-23,15:17:22,52,0,0
2020-10-23,15:17:23,52,0,0
2020-10-23,15:17:24,52,0,0
2020-10-23,15:17:25,52,0,0
2020-10-23,15:17:26,53,0,0
2020-10-23,15:17:27,54,0,0
2020-10-23,15:17:28,54,0,0
2020-10-23,15:17:29,54,0,0
2020-10-23,15:17:30,54,0,0
2020-10-23,15:17:31,53,0,0
2020-10-23,15:17:32,55,0,0
2020-10-23,15:17:33,57,0,0
2020-10-23,15:17:34,60,0,0
2020-10-23,15:17:35,62,0,0
2020-10-23,15:17:36,65,0,0
2020-10-23,15:17:37,68,0,0
2020-10-23,15:17:38,70,0,0
2020-10-23,15:17:39,73,0,0
2020-10-23,15:17:40,76,1,0
2020-10-23,15:17:41,80,1,0
2020-10-23,15:17:42,83,1,0
2020-10-23,15:17:43,85,1,0
2020-10-23,15:17:44,86,1,0
2020-10-23,15:17:45,87,1,0
2020-10-23,15:17:46,88,1,0
2020-10-23,15:17:47,89,1,1
2020-10-23,15:17:48,89,1,1
2020-10-23,15:17:49,90,1,1
2020-10-23,15:17:50,90,1,1
2020-10-23,15:17:51,90,1,1
2020-10-23,15:17:52,89,1,1
2020-10-23,15:17:53,88,1,1
2020-10-23,15:17:54,87,1,1
2020-10-23,15:17:55,85,1,1
2020-10-23,15:17:56,84,1,1
2020-10-23,15:17:57,83,1,1
2020-10-23,15:17:58,82,1,1
2020-10-23,15:17:59,80,1,1
2020-10-23,15:18:00,79,1,1
2020-10-23,15:18:01,77,1,1
2020-10-23,15:18:02,76,0,1
2020-10-23,15:18:03,77,0,1
2020-10-23,15:18:04,79,0,1
2020-10-23,15:18:05,82,0,1
2020-10-23,15:18:06,84,0,1
2020-10-23,15:18:07,68,0,1
2020-10-23,15:18:08,88,0,1
2020-10-23,15:18:09,90,0,1
2020-10-23,15:18:10,92,0,1
2020-10-23,15:18:11,94,0,1
2020-10-23,15:18:12,69,0,1
2020-10-23,15:18:13,79,0,1
2020-10-23,15:18:14,99,0,1
2020-10-23,15:18:15,99,1,1
2020-10-23,15:18:16,98,1,1
2020-10-23,15:18:17,94,1,1
2020-10-23,15:18:18,92,1,1
2020-10-23,15:18:19,90,1,1
2020-10-23,15:18:20,90,1,1
2020-10-23,15:18:21,89,1,1
2020-10-23,15:18:22,89,1,1
2020-10-23,15:18:23,90,1,1
2020-10-23,15:18:24,90,1,1
2020-10-23,15:18:25,90,1,1
2020-10-23,15:18:26,90,1,1
2020-10-23,15:18:27,90,1,1
2020-10-23,15:18:28,90,1,1
2020-10-23,15:18:29,91,1,1
2020-10-23,15:18:30,92,1,1
2020-10-23,15:18:31,93,1,1
2020-10-23,15:18:32,93,1,1
2020-10-23,15:18:33,94,1,1
2020-10-23,15:18:34,94,1,1
2020-10-23,15:18:35,95,1,1
2020-10-23,15:18:36,95,1,1
2020-10-23,15:18:37,96,1,1
2020-10-23,15:18:38,97,1,1
2020-10-23,15:18:39,97,1,1
2020-10-23,15:18:40,98,1,1
2020-10-23,15:18:41,98,1,1
2020-10-23,15:18:42,98,1,1
2020-10-23,15:18:43,98,1,1
2020-10-23,15:18:44,,1,1
2020-10-23,15:18:45,98,1,1
2020-10-23,15:18:46,99,1,1
2020-10-23,15:18:47,99,1,1
2020-10-23,15:18:48,100,1,1
2020-10-23,15:18:49,101,1,1
2020-10-23,15:18:50,101,1,1
2020-10-23,15:18:51,102,1,1
2020-10-23,15:18:52,102,1,1
2020-10-23,15:18:53,102,1,1
2020-10-23,15:18:54,102,1,1
2020-10-23,15:18:55,103,1,1
2020-10-23,15:18:56,103,1,1
2020-10-23,15:18:57,103,1,1
2020-10-23,15:18:58,104,1,1
2020-10-23,15:18:59,106,1,1
2020-10-23,15:19:00,106,1,1
2020-10-23,15:19:01,106,1,1
2020-10-23,15:19:02,105,1,1
2020-10-23,15:19:03,103,1,1
2020-10-23,15:19:04,102,1,1
2020-10-23,15:19:05,100,1,1
2020-10-23,15:19:06,99,1,1
2020-10-23,15:19:07,98,1,1
2020-10-23,15:19:08,97,1,1
2020-10-23,15:19:09,96,1,1
2020-10-23,15:19:11,96,1,1
2020-10-23,15:19:12,79,1,1
2020-10-23,15:19:13,97,1,1
2020-10-23,15:19:14,79,1,1
2020-10-23,15:19:15,97,1,1
2020-10-23,15:19:16,97,1,1
2020-10-23,15:19:17,97,1,1
2020-10-23,15:19:18,79,1,1
2020-10-23,15:19:19,97,1,1
2020-10-23,15:19:20,98,1,1
2020-10-23,15:19:21,96,1,1
2020-10-23,15:19:22,95,1,1
2020-10-23,15:19:23,93,1,1
2020-10-23,15:19:24,89,1,1
2020-10-23,15:19:25,83,1,1
2020-10-23,15:19:26,79,1,1
2020-10-23,15:19:27,77,1,1
2020-10-23,15:19:28,76,1,1
2020-10-23,15:19:29,75,1,1
2020-10-23,15:19:30,74,1,1
2020-10-23,15:19:31,73,1,1
2020-10-23,15:19:32,70,1,1
2020-10-23,15:19:33,69,1,1
2020-10-23,15:19:34,67,1,1
2020-10-23,15:19:35,65,1,1
2020-10-23,15:19:36,63,1,1
2020-10-23,15:19:37,61,1,1
2020-10-23,15:19:38,59,1,1
2020-10-23,15:19:39,58,1,1
2020-10-23,15:19:40,57,1,1
2020-10-23,15:19:41,57,1,1
2020-10-23,15:19:42,58,1,1
2020-10-23,15:19:43,63,1,1
2020-10-23,15:19:44,69,1,1
2020-10-23,15:19:45,77,1,1
2020-10-23,15:19:46,83,1,1
2020-10-23,15:19:47,89,1,1
2020-10-23,15:19:48,97,1,1
2020-10-23,15:19:49,102,1,1
