date,time,speed,lane,auto
2020-10-06,,,1,1
2020-10-06,,,1,1
2020-10-06,,,1,1
2020-10-06,,4,1,1
2020-10-06,,,1,1
2020-10-06,,4,1,1
2020-10-06,,,1,1
2020-10-06,,4,1,1
2020-10-06,,,1,1
2020-10-06,,48,1,1
2020-10-06,,4,1,1
2020-10-06,,44,1,1
2020-10-06,,4,1,1
2020-10-06,,90,1,1
2020-10-06,,48,1,1
2020-10-06,,48,1,1
2020-10-06,,90,1,1
2020-10-06,,,1,1
2020-10-06,,90,1,1
2020-10-06,,4,1,1
2020-10-06,,90,1,1
2020-10-06,11:25:12,,1,1
2020-10-06,11:25:12,90,1,1
2020-10-06,11:25:12,90,1,1
2020-10-06,11:25:12,90,1,1
2020-10-06,11:25:12,48,1,1
2020-10-06,11:25:12,48,1,1
2020-10-06,11:25:12,90,1,1
2020-10-06,11:25:12,,1,1
2020-10-06,11:25:13,90,1,1
2020-10-06,11:25:13,90,1,1
2020-10-06,11:25:13,48,1,1
2020-10-06,11:25:13,,1,1
2020-10-06,11:25:13,,1,1
2020-10-06,11:25:13,,1,1
2020-10-06,11:25:13,4,1,1
2020-10-06,11:25:13,,1,0
2020-10-06,11:25:13,,1,0
2020-10-06,11:25:13,,1,0
2020-10-06,11:25:13,,1,0
2020-10-06,11:25:13,,1,0
2020-10-06,11:25:13,,1,0
2020-10-06,11:25:13,,1,0
2020-10-06,11:25:13,,1,0
2020-10-06,11:25:13,,1,0
2020-10-06,11:25:13,,1,0
2020-10-06,11:25:13,,1,0
2020-10-06,11:25:13,87,1,0
2020-10-06,11:25:13,,1,0
2020-10-06,11:25:13,4,1,0
2020-10-06,11:25:13,87,1,0
2020-10-06,11:25:13,,1,0
2020-10-06,11:25:13,,1,0
2020-10-06,11:25:13,87,1,0
2020-10-06,11:25:13,,1,0
2020-10-06,11:25:13,86,1,0
2020-10-06,11:25:13,86,1,0
2020-10-06,11:25:13,86,1,0
2020-10-06,11:25:13,86,1,0
2020-10-06,11:25:14,,1,0
2020-10-06,11:25:14,86,1,0
2020-10-06,11:25:14,,1,0
2020-10-06,11:25:14,85,1,0
2020-10-06,11:25:14,,1,0
2020-10-06,11:25:14,85,1,0
2020-10-06,11:25:14,85,1,0
2020-10-06,11:25:14,85,1,0
2020-10-06,11:25:14,83,1,0
2020-10-06,11:25:14,,1,0
2020-10-06,11:25:14,83,1,0
2020-10-06,11:25:14,83,1,0
2020-10-06,11:25:14,83,1,0
2020-10-06,11:25:14,83,1,0
2020-10-06,11:25:14,83,1,0
2020-10-06,11:25:14,4,1,0
2020-10-06,11:25:14,82,1,0
2020-10-06,11:25:14,82,1,0
2020-10-06,11:25:14,82,1,0
2020-10-06,11:25:14,82,1,0
2020-10-06,11:25:14,82,1,0
2020-10-06,11:25:14,82,1,0
2020-10-06,11:25:14,,1,0
2020-10-06,11:25:14,,1,0
2020-10-06,11:25:14,,1,0
2020-10-06,11:25:14,87,1,0
2020-10-06,11:25:14,,1,0
2020-10-06,11:25:14,,1,0
2020-10-06,11:25:14,87,1,0
2020-10-06,11:25:14,,1,0
2020-10-06,11:25:15,80,1,0
2020-10-06,11:25:15,80,1,0
2020-10-06,11:25:15,80,1,0
2020-10-06,11:25:15,80,1,0
2020-10-06,11:25:15,80,1,0
2020-10-06,11:25:15,,1,0
2020-10-06,11:25:15,78,1,0
2020-10-06,11:25:15,78,1,0
2020-10-06,11:25:15,78,1,0
2020-10-06,11:25:15,,1,0
2020-10-06,11:25:15,,1,0
2020-10-06,11:25:15,78,1,0
2020-10-06,11:25:15,,1,0
2020-10-06,11:25:15,77,1,0
2020-10-06,11:25:15,,1,0
2020-10-06,11:25:15,,1,0
2020-10-06,11:25:15,77,1,0
2020-10-06,11:25:15,77,1,0
2020-10-06,11:25:15,,1,0
2020-10-06,11:25:15,75,1,0
2020-10-06,11:25:15,,1,0
2020-10-06,11:25:15,,1,0
2020-10-06,11:25:15,,1,0
2020-10-06,11:25:15,,1,0
2020-10-06,11:25:15,,1,0
2020-10-06,11:25:15,73,1,0
2020-10-06,11:25:15,,1,0
2020-10-06,11:25:15,,1,0
2020-10-06,11:25:15,,1,0
2020-10-06,11:25:15,73,1,0
2020-10-06,11:25:16,73,1,0
2020-10-06,11:25:16,,1,0
2020-10-06,11:25:16,,1,0
2020-10-06,11:25:16,,1,0
2020-10-06,11:25:16,72,1,0
2020-10-06,11:25:16,,1,0
2020-10-06,11:25:16,72,1,0
2020-10-06,11:25:16,72,1,0
2020-10-06,11:25:16,72,1,0
2020-10-06,11:25:16,4,1,0
2020-10-06,11:25:16,48,1,0
2020-10-06,11:25:16,70,1,0
2020-10-06,11:25:16,70,1,0
2020-10-06,11:25:16,70,1,0
2020-10-06,11:25:16,48,1,0
2020-10-06,11:25:16,70,1,0
2020-10-06,11:25:16,48,1,0
2020-10-06,11:25:16,88,1,0
2020-10-06,11:25:16,68,1,0
2020-10-06,11:25:16,68,1,0
2020-10-06,11:25:16,68,1,0
2020-10-06,11:25:16,68,1,0
2020-10-06,11:25:16,68,1,0
2020-10-06,11:25:16,66,1,0
2020-10-06,11:25:16,66,1,0
2020-10-06,11:25:16,66,1,0
2020-10-06,11:25:16,66,1,0
2020-10-06,11:25:16,66,1,0
2020-10-06,11:25:16,66,1,0
2020-10-06,11:25:16,646,1,0
2020-10-06,,64,1,0
2020-10-06,,,1,0
2020-10-06,,64,1,0
2020-10-06,,,1,0
2020-10-06,11:25:17,64,1,0
2020-10-06,,64,1,0
2020-10-06,,67,1,0
2020-10-06,,67,1,0
2020-10-06,11:25:17,67,1,0
2020-10-06,11:25:17,67,1,0
2020-10-06,,67,1,0
2020-10-06,,67,1,0
2020-10-06,,67,1,0
2020-10-06,,,1,0
2020-10-06,,,1,0
